model,price,1440p Ultra FPS,Price per FPS,canonical_url
GeForce RTX 3070 8 GB,2000,77.7,25.74002574002574,https://www.finn.no/bap/forsale/ad.html?finnkode=327603403
GeForce RTX 2060 6 GB,1109,40.1,27.65586034912718,https://www.finn.no/recommerce/forsale/item/375321896
Radeon RX 5700 XT 8 GB,1500,53.1,28.248587570621467,https://www.finn.no/recommerce/forsale/item/376193084
GeForce RTX 2080 8 GB,1800,63.2,28.481012658227847,https://www.finn.no/bap/forsale/ad.html?finnkode=369063129
GeForce GTX 1070 8 GB,1000,33.1,30.211480362537763,https://www.finn.no/recommerce/forsale/item/362508387
GeForce GTX 1080 8 GB,1200,39.4,30.456852791878173,https://www.finn.no/recommerce/forsale/item/366034340
GeForce GTX 1070 Ti 8 GB,1200,37.9,31.6622691292876,https://www.finn.no/bap/forsale/ad.html?finnkode=371595804
Radeon RX 5700 8 GB,1500,46.7,32.11991434689507,https://www.finn.no/bap/forsale/ad.html?finnkode=371591158
GeForce GTX 1660 Ti 6 GB,1100,33.3,33.033033033033036,https://www.finn.no/recommerce/forsale/item/376565572
Radeon RX 6600 8 GB,1499,44.8,33.45982142857143,https://www.finn.no/bap/webstore/ad.html?finnkode=365695264
GeForce RTX 2070 8 GB,1950,51.8,37.64478764478765,https://www.finn.no/recommerce/forsale/item/376352146
Radeon RX 580 8 GB,1000,26.0,38.46153846153846,https://www.finn.no/bap/forsale/ad.html?finnkode=328239638
Radeon RX 590 8 GB,1150,29.0,39.6551724137931,https://www.finn.no/bap/forsale/ad.html?finnkode=368624257
GeForce GTX 1080 Ti 11 GB,2000,50.2,39.8406374501992,https://www.finn.no/recommerce/forsale/item/375744279
GeForce RTX 2080 Ti 11 GB,3250,75.6,42.989417989417994,https://www.finn.no/recommerce/forsale/item/374352532
Radeon RX 6700 XT 12 GB,3250,73.4,44.277929155313345,https://www.finn.no/recommerce/forsale/item/365180872
GeForce RTX 3080 10 GB,4650,102.3,45.45454545454545,https://www.finn.no/recommerce/forsale/item/375377822
GeForce RTX 3060 Ti 8 GB,3200,70.0,45.714285714285715,https://www.finn.no/recommerce/forsale/item/375453263
Radeon RX 6800 16 GB,4200,89.2,47.08520179372197,https://www.finn.no/recommerce/forsale/item/376814876
GeForce RTX 3080 10 GB,4650,96.4,48.23651452282157,https://www.finn.no/recommerce/forsale/item/375377822
Radeon RX 6800 XT 16 GB,5000,99.0,50.505050505050505,https://www.finn.no/bap/forsale/ad.html?finnkode=341971152
GeForce RTX 3050 8 GB,1950,38.5,50.64935064935065,https://www.finn.no/recommerce/forsale/item/376089861
GeForce RTX 3060 12 GB,2750,54.0,50.925925925925924,https://www.finn.no/recommerce/forsale/item/373613731
Radeon RX 6650 XT 8 GB,2800,54.5,51.37614678899082,https://www.finn.no/bap/forsale/ad.html?finnkode=367667852
Radeon RX 6750 XT 12 GB,4000,77.2,51.81347150259067,https://www.finn.no/recommerce/forsale/item/375263733
Radeon RX 6950 XT 16 GB,5900,110.1,53.58764759309719,https://www.finn.no/recommerce/forsale/item/376713885
GeForce RTX 2060 12 GB,2200,40.1,54.86284289276808,https://www.finn.no/bap/forsale/ad.html?finnkode=372209649
GeForce RTX 3080 Ti 12 GB,6000,103.9,57.74783445620789,https://www.finn.no/recommerce/forsale/item/376602913
Radeon RX 7900 GRE 16 GB,6600,113.9,57.94556628621598,https://www.finn.no/bap/forsale/ad.html?finnkode=373345714
GeForce RTX 4060 Ti 8 GB,4500,75.7,59.445178335535005,https://www.finn.no/recommerce/forsale/item/375419768
GeForce RTX 4060 Ti 8 GB,4500,75.6,59.523809523809526,https://www.finn.no/recommerce/forsale/item/375419768
Radeon RX 6900 XT 16 GB,6700,102.1,65.62193927522037,https://www.finn.no/bap/forsale/ad.html?finnkode=359441264
GeForce RTX 3070 Ti 8 GB,5800,82.8,70.04830917874396,https://www.finn.no/bap/forsale/ad.html?finnkode=349072622
Radeon RX 6500 XT 4 GB,1300,18.0,72.22222222222223,https://www.finn.no/bap/forsale/ad.html?finnkode=344551685
GeForce RTX 3090 24 GB,7800,106.0,73.58490566037736,https://www.finn.no/recommerce/forsale/item/376349221
GeForce GTX 1060 6 GB,4000,23.0,173.91304347826087,https://www.finn.no/bap/forsale/ad.html?finnkode=368072114
